Player,Runs,Balls,Strike_Rate
1,4014,2902,138.32
3,4090,3384,120.86
5,969,769,126.01
11,2657,2124,125.09
12,466,363,128.37
13,222,129,172.09
14,4037,2793,144.54
16,1379,1131,121.93
9,205,151,135.76
19,920,707,130.13
8,3197,2317,137.98
20,137,106,129.25
10,810,658,123.1
7,59,59,100.0
6,16,33,48.48
2,8,11,72.73
4,25,20,125.0
22,2482,2169,114.43
24,1102,740,148.92
28,4504,3497,128.8
29,749,593,126.31
30,3031,2374,127.67
33,721,477,151.15
34,2492,1778,140.16
35,685,511,134.05
36,106,82,129.27
37,3445,2925,117.78
38,934,786,118.83
40,1713,1333,128.51
26,519,393,132.06
42,4041,3001,134.66
43,186,139,133.81
45,2893,2272,127.33
48,5014,3723,134.68
51,1744,1372,127.11
53,3423,2709,126.36
54,4223,3524,119.84
56,886,642,138.01
68,1697,1489,113.97
69,448,384,116.67
70,577,418,138.04
71,1016,800,127.0
72,1687,1327,127.13
64,692,565,122.48
74,1403,902,155.54
75,1642,1201,136.72
82,19,26,73.08
83,88,86,102.33
84,356,289,123.18
85,339,285,118.95
87,337,251,134.26
88,1465,1154,126.95
89,1877,1490,125.97
90,1281,793,161.54
77,486,301,161.46
81,176,110,160.0
78,77,56,137.5
80,341,384,88.8
79,32,79,40.51
76,117,141,82.98
60,2385,1803,132.28
57,96,108,88.89
55,340,323,105.26
91,31,36,86.11
94,4144,3234,128.14
95,2522,2158,116.87
52,3198,2287,139.83
97,608,479,126.93
49,63,66,95.45
47,644,391,164.71
96,833,629,132.43
99,3974,2683,148.12
101,538,436,123.39
102,1462,1173,124.64
103,624,449,138.98
32,342,290,117.93
25,65,36,180.56
31,5,8,62.5
23,26,50,52.0
27,20,27,74.07
104,1555,1360,114.34
105,324,233,139.06
18,72,41,175.61
17,173,178,97.19
66,266,214,124.3
63,124,118,105.08
100,46,56,82.14
110,4962,3879,127.92
39,79,57,138.6
114,153,104,147.12
115,22,14,157.14
73,3,2,150.0
116,1,1,100.0
108,266,179,148.6
21,187,124,150.81
118,1230,972,126.54
119,854,725,117.79
117,15,18,83.33
62,26,40,65.0
120,602,442,136.2
123,54,51,105.88
122,7,12,58.33
111,13,25,52.0
125,724,599,120.87
126,53,52,101.92
127,20,15,133.33
109,45,59,76.27
113,1832,1538,119.12
112,93,70,132.86
131,1158,847,136.72
133,2489,1913,130.11
135,749,604,124.01
134,527,406,129.8
137,168,168,100.0
136,55,68,80.88
141,29,41,70.73
124,52,53,98.11
50,34,47,72.34
107,99,107,92.52
138,77,52,148.08
142,317,285,111.23
143,6,5,120.0
145,12,12,100.0
146,38,31,122.58
148,189,143,132.17
147,37,47,78.72
149,1150,985,116.75
144,7,9,77.78
41,36,38,94.74
93,88,103,85.44
150,25,41,60.98
129,12,27,44.44
152,1079,878,122.89
151,161,174,92.53
67,12,20,60.0
153,92,71,129.58
121,39,41,95.12
155,1276,1111,114.85
44,5,10,50.0
159,3,5,60.0
160,76,100,76.0
46,544,503,108.15
98,18,31,58.06
161,1349,1326,101.73
163,91,129,70.54
166,1322,1101,120.07
168,64,84,76.19
169,2174,1918,113.35
170,130,129,100.78
164,2427,2291,105.94
167,971,774,125.45
172,394,318,123.9
173,76,57,133.33
162,9,12,75.0
165,6,16,37.5
176,1107,839,131.94
178,1977,1648,119.96
182,106,110,96.36
183,1441,1245,115.74
180,218,239,91.21
179,417,314,132.8
184,1687,1424,118.47
188,241,191,126.18
189,11,20,55.0
192,259,258,100.39
194,18,19,94.74
195,55,70,78.57
197,33,24,137.5
198,198,219,90.41
199,42,61,68.85
200,2728,1833,148.83
201,34,37,91.89
202,768,573,134.03
203,39,54,72.22
204,92,97,94.85
205,672,588,114.29
206,147,116,126.72
207,25,33,75.76
208,1017,847,120.07
209,2069,1555,133.05
210,985,865,113.87
211,282,271,104.06
212,974,781,124.71
214,131,134,97.76
215,573,431,132.95
216,49,58,84.48
217,81,73,110.96
218,52,78,66.67
174,405,358,113.13
220,1808,1522,118.79
222,368,311,118.33
175,124,102,121.57
181,56,76,73.68
223,128,78,164.1
226,81,46,176.09
227,1408,1125,125.16
229,24,22,109.09
15,41,63,65.08
230,739,691,106.95
221,7,12,58.33
232,73,78,93.59
177,34,57,59.65
233,4,3,133.33
156,311,289,107.61
171,179,160,111.87
213,113,109,103.67
238,52,49,106.12
193,177,124,142.74
225,15,28,53.57
239,8,11,72.73
241,280,256,109.38
240,166,161,103.11
243,304,267,113.86
245,886,837,105.85
236,11,9,122.22
231,3,8,37.5
247,423,352,120.17
234,36,31,116.13
249,193,172,112.21
250,1400,1153,121.42
248,39,19,205.26
251,196,171,114.62
252,145,115,126.09
242,975,712,136.94
254,40,27,148.15
255,375,325,115.38
256,117,82,142.68
258,192,183,104.92
259,20,18,111.11
224,3,6,50.0
190,4,5,80.0
187,36,30,120.0
58,99,76,130.26
185,20,30,66.67
253,11,19,57.89
260,13,13,100.0
235,35,49,71.43
261,136,121,112.4
263,16,24,66.67
264,53,75,70.67
265,31,26,119.23
266,23,24,95.83
219,16,45,35.56
267,301,302,99.67
268,2334,2044,114.19
269,0,1,0.0
271,1153,1047,110.12
270,79,79,100.0
272,121,124,97.58
273,302,251,120.32
275,3,7,42.86
277,1,2,50.0
257,1,1,100.0
274,2,8,25.0
278,0,2,0.0
279,2,5,40.0
237,99,92,107.61
244,4,3,133.33
228,2,2,100.0
262,36,50,72.0
281,19,23,82.61
276,67,64,104.69
285,2041,1680,121.49
284,62,57,108.77
283,12,19,63.16
286,604,466,129.61
287,1001,758,132.06
289,11,16,68.75
288,3,5,60.0
290,531,468,113.46
297,19,17,111.76
295,4,5,80.0
298,505,432,116.9
299,103,105,98.1
300,194,172,112.79
301,47,67,70.15
304,514,486,105.76
306,69,88,78.41
307,7,8,87.5
282,3,6,50.0
196,121,118,102.54
309,167,135,123.7
308,159,144,110.42
310,676,587,115.16
305,1,6,16.67
312,15,16,93.75
303,2,4,50.0
314,81,71,114.08
313,9,14,64.29
315,2525,2103,120.07
61,28,30,93.33
317,117,112,104.46
316,10,13,76.92
319,126,93,135.48
323,409,364,112.36
321,0,1,0.0
324,2,2,100.0
318,2,10,20.0
325,663,552,120.11
326,123,103,119.42
327,285,271,105.17
329,6,7,85.71
330,339,322,105.28
331,2,12,16.67
334,390,403,96.77
335,506,405,124.94
336,63,69,91.3
333,8,11,72.73
340,270,236,114.41
341,159,178,89.33
339,217,218,99.54
343,127,141,90.07
338,4,7,57.14
344,798,737,108.28
293,0,1,0.0
346,26,25,104.0
311,3,4,75.0
345,2,8,25.0
348,1,2,50.0
347,0,10,0.0
291,4,13,30.77
349,278,198,140.4
350,19,26,73.08
351,37,29,127.59
353,42,43,97.67
354,183,179,102.23
355,181,143,126.57
356,237,213,111.27
358,10,13,76.92
352,5,5,100.0
357,66,77,85.71
337,23,26,88.46
360,51,53,96.23
361,10,9,111.11
362,203,159,127.67
328,8,9,88.89
294,7,7,100.0
320,34,26,130.77
367,34,23,147.83
368,36,27,133.33
371,4,2,200.0
366,21,23,91.3
372,31,38,81.58
373,35,38,92.11
374,15,21,71.43
375,49,61,80.33
369,225,201,111.94
296,18,12,150.0
380,50,53,94.34
379,39,26,150.0
381,300,314,95.54
383,92,101,91.09
385,43,31,138.71
387,1,1,100.0
378,401,367,109.26
386,63,80,78.75
390,18,17,105.88
391,3,6,50.0
392,22,33,66.67
393,10,29,34.48
365,2,3,66.67
384,20,19,105.26
382,327,309,105.83
394,170,142,119.72
377,2,4,50.0
395,18,11,163.64
359,424,326,130.06
397,26,23,113.04
398,3,4,75.0
396,29,27,107.41
388,326,238,136.97
400,75,59,127.12
342,10,14,71.43
401,20,26,76.92
402,73,78,93.59
404,120,91,131.87
405,7,4,175.0
370,0,2,0.0
406,21,26,80.77
403,1,3,33.33
407,98,119,82.35
412,12,11,109.09
376,0,13,0.0
411,19,18,105.56
413,91,82,110.98
389,6,7,85.71
416,83,74,112.16
418,116,70,165.71
158,107,71,150.7
419,12,9,133.33
420,111,103,107.77
422,22,22,100.0
423,0,2,0.0
426,8,15,53.33
429,140,143,97.9
430,388,311,124.76
433,32,32,100.0
399,5,3,166.67
428,280,196,142.86
425,0,1,0.0
435,125,116,107.76
436,98,96,102.08
438,342,280,122.14
439,87,77,112.99
440,164,167,98.2
441,12,9,133.33
424,5,14,35.71
427,900,529,170.13
431,4,7,57.14
442,0,1,0.0
443,125,134,93.28
444,280,323,86.69
445,14,13,107.69
434,19,23,82.61
446,5,13,38.46
447,23,27,85.19
450,51,52,98.08
451,10,17,58.82
452,193,146,132.19
453,1403,1018,137.82
454,934,730,127.95
449,153,135,113.33
432,106,63,168.25
456,0,2,0.0
457,169,158,106.96
458,10,17,58.82
459,295,251,117.53
460,36,39,92.31
464,7,15,46.67
463,17,20,85.0
462,18,39,46.15
467,20,21,95.24
468,42,46,91.3
466,96,98,97.96
469,40,36,111.11
470,53,51,103.92
471,5,3,166.67
472,29,26,111.54
475,1,3,33.33
474,67,74,90.54
417,1,2,50.0
455,38,32,118.75
477,12,17,70.59
479,15,13,115.38
480,48,33,145.45
481,2,2,100.0
482,127,94,135.11
483,232,146,158.9
478,1,3,33.33
486,93,72,129.17
487,19,13,146.15
488,13,8,162.5
485,1,3,33.33
490,23,33,69.7
491,6,12,50.0
130,6,12,50.0
493,127,105,120.95
494,14,13,107.69
128,8,11,72.73
59,0,1,0.0
495,24,15,160.0
496,414,290,142.76
497,3,5,60.0
501,36,34,105.88
502,123,102,120.59
503,129,67,192.54
504,24,28,85.71
498,25,25,100.0
86,5,2,250.0
499,11,7,157.14
505,4,5,80.0
506,211,142,148.59
507,13,15,86.67
132,27,23,117.39
508,58,48,120.83
509,0,5,0.0
510,17,21,80.95
512,250,165,151.52
511,1,3,33.33
106,1,3,33.33
513,152,119,127.73
515,20,21,95.24
519,8,9,88.89
521,77,46,167.39
520,1,5,20.0
522,8,6,133.33
523,8,6,133.33
514,1,6,16.67
